10 VNRs
Metric.SuccessfullyEmbeddingPartitionsSize : "32.77777777777778"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.259259259259259"
Metric.AttemptEmbeddingPartitionsNodesRatio : "138.625"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "12.995881266564432"
Metric.RuntimeWithoutPartitioning : "143596.0"


50 VNRs
scenario : "0"
timeSlot : "0"
Metric.AcceptedVnrRatio : "56.00000000000001"
Metric.RejectedNetworksNumber : "22.0"
Metric.AvAllPathLength : "1.0869565217391304"
Metric.AvPathLength : "2.01271186440678"
Metric.AvActiveLinkStress : "2.240566037735849"
Metric.AvActiveNodeStress : "2.96"
Metric.AvLinkStress : "1.6666666666666667"
Metric.AvNodeStress : "2.96"
Metric.MaxLinkStress : "7.0"
Metric.MaxNodeStress : "8.0"
Metric.MaxPathLength : "5.0"
Metric.Cost : "51958.17872100004"
Metric.CostRevenue : "1.7819689034065538"
Metric.RevenueCost : "0.5611770205912798"
Metric.MappedRevenue : "29157.73593000004"
Metric.RunningNodes : "100.0"
Metric.LinkCostPerVnr : "1595.3600872500015"
Metric.LinkUtilization : "23.510569706842126"
Metric.NodeUtilization : "24.621946885135127"
Metric.RemainingLinkResource : "41517.14300000008"
Metric.SolelyForwardingHops : "0.0"
Metric.Runtime : "195369.0"
Metric.runningTimePerMappedVN : "6977.464285714285"
Metric.NumberOfEmbeddedVNets : "28.0"
Metric.AvgMessagesSent : "4.44"
Metric.AvgMessagesReceived : "4.44"
Metric.NumberOfMessages : "444.0"
Metric.SuccessfullyEmbeddingPartitionsBandwidthRatio : "31.784725283640935"
Metric.SuccessfullyEmbeddingPartitionsNodesRatio : "19.7"
Metric.SuccessfullyEmbeddingPartitionsSize : "35.17857142857143"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.1785714285714284"
Metric.AttemptEmbeddingPartitionsNodesRatio : "153.34"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "21.585427484818936"
Metric.RuntimeWithoutPartitioning : "194986.0"


60 VNRs
scenario : "0"
timeSlot : "0"
Metric.AcceptedVnrRatio : "46.666666666666664"
Metric.RejectedNetworksNumber : "32.0"
Metric.AvAllPathLength : "0.8739650413983441"
Metric.AvPathLength : "2.01271186440678"
Metric.AvActiveLinkStress : "2.240566037735849"
Metric.AvActiveNodeStress : "2.96"
Metric.AvLinkStress : "1.6666666666666667"
Metric.AvNodeStress : "2.96"
Metric.MaxLinkStress : "7.0"
Metric.MaxNodeStress : "8.0"
Metric.MaxPathLength : "5.0"
Metric.Cost : "51958.17872100004"
Metric.CostRevenue : "1.7819689034065538"
Metric.RevenueCost : "0.5611770205912798"
Metric.MappedRevenue : "29157.73593000004"
Metric.RunningNodes : "100.0"
Metric.LinkCostPerVnr : "1595.3600872500015"
Metric.LinkUtilization : "23.510569706842126"
Metric.NodeUtilization : "24.621946885135127"
Metric.RemainingLinkResource : "41517.14300000008"
Metric.SolelyForwardingHops : "0.0"
Metric.Runtime : "215993.0"
Metric.runningTimePerMappedVN : "7714.035714285715"
Metric.NumberOfEmbeddedVNets : "28.0"
Metric.AvgMessagesSent : "4.68"
Metric.AvgMessagesReceived : "4.68"
Metric.NumberOfMessages : "468.0"
Metric.SuccessfullyEmbeddingPartitionsBandwidthRatio : "31.784725283640935"
Metric.SuccessfullyEmbeddingPartitionsNodesRatio : "16.416666666666668"
Metric.SuccessfullyEmbeddingPartitionsSize : "35.17857142857143"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.1785714285714284"
Metric.AttemptEmbeddingPartitionsNodesRatio : "151.05"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "25.02404490514518"
Metric.RuntimeWithoutPartitioning : "215654.0"


70 VNRs
scenario : "0"
timeSlot : "0"
Metric.AcceptedVnrRatio : "40.0"
Metric.RejectedNetworksNumber : "42.0"
Metric.AvAllPathLength : "0.7456828885400314"
Metric.AvPathLength : "2.01271186440678"
Metric.AvActiveLinkStress : "2.240566037735849"
Metric.AvActiveNodeStress : "2.96"
Metric.AvLinkStress : "1.6666666666666667"
Metric.AvNodeStress : "2.96"
Metric.MaxLinkStress : "7.0"
Metric.MaxNodeStress : "8.0"
Metric.MaxPathLength : "5.0"
Metric.Cost : "51958.17872100004"
Metric.CostRevenue : "1.7819689034065538"
Metric.RevenueCost : "0.5611770205912798"
Metric.MappedRevenue : "29157.73593000004"
Metric.RunningNodes : "100.0"
Metric.LinkCostPerVnr : "1595.3600872500015"
Metric.LinkUtilization : "23.510569706842126"
Metric.NodeUtilization : "24.621946885135127"
Metric.RemainingLinkResource : "41517.14300000008"
Metric.SolelyForwardingHops : "0.0"
Metric.Runtime : "252089.0"
Metric.runningTimePerMappedVN : "9003.17857142857"
Metric.NumberOfEmbeddedVNets : "28.0"
Metric.AvgMessagesSent : "5.12"
Metric.AvgMessagesReceived : "5.12"
Metric.NumberOfMessages : "512.0"
Metric.SuccessfullyEmbeddingPartitionsBandwidthRatio : "31.784725283640935"
Metric.SuccessfullyEmbeddingPartitionsNodesRatio : "14.071428571428571"
Metric.SuccessfullyEmbeddingPartitionsSize : "35.17857142857143"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.1785714285714284"
Metric.AttemptEmbeddingPartitionsNodesRatio : "154.21428571428572"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "28.806131471311986"
Metric.RuntimeWithoutPartitioning : "251896.0"


80 VNRs
scenario : "0"
timeSlot : "0"
Metric.AcceptedVnrRatio : "35.0"
Metric.RejectedNetworksNumber : "52.0"
Metric.AvAllPathLength : "0.6874095513748191"
Metric.AvPathLength : "2.01271186440678"
Metric.AvActiveLinkStress : "2.240566037735849"
Metric.AvActiveNodeStress : "2.96"
Metric.AvLinkStress : "1.6666666666666667"
Metric.AvNodeStress : "2.96"
Metric.MaxLinkStress : "7.0"
Metric.MaxNodeStress : "8.0"
Metric.MaxPathLength : "5.0"
Metric.Cost : "51958.17872100004"
Metric.CostRevenue : "1.7819689034065538"
Metric.RevenueCost : "0.5611770205912798"
Metric.MappedRevenue : "29157.73593000004"
Metric.RunningNodes : "100.0"
Metric.LinkCostPerVnr : "1595.3600872500015"
Metric.LinkUtilization : "23.510569706842126"
Metric.NodeUtilization : "24.621946885135127"
Metric.RemainingLinkResource : "41517.14300000008"
Metric.SolelyForwardingHops : "0.0"
Metric.Runtime : "282290.0"
Metric.runningTimePerMappedVN : "10081.785714285714"
Metric.NumberOfEmbeddedVNets : "28.0"
Metric.AvgMessagesSent : "5.56"
Metric.AvgMessagesReceived : "5.56"
Metric.NumberOfMessages : "556.0"
Metric.SuccessfullyEmbeddingPartitionsBandwidthRatio : "31.784725283640935"
Metric.SuccessfullyEmbeddingPartitionsNodesRatio : "12.3125"
Metric.SuccessfullyEmbeddingPartitionsSize : "35.17857142857143"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.1785714285714284"
Metric.AttemptEmbeddingPartitionsNodesRatio : "157.1875"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "32.27206358040237"
Metric.RuntimeWithoutPartitioning : "282096.0"


90 VNRs
scenario : "0"
timeSlot : "0"
Metric.AcceptedVnrRatio : "31.11111111111111"
Metric.RejectedNetworksNumber : "62.0"
Metric.AvAllPathLength : "0.6312292358803987"
Metric.AvPathLength : "2.01271186440678"
Metric.AvActiveLinkStress : "2.240566037735849"
Metric.AvActiveNodeStress : "2.96"
Metric.AvLinkStress : "1.6666666666666667"
Metric.AvNodeStress : "2.96"
Metric.MaxLinkStress : "7.0"
Metric.MaxNodeStress : "8.0"
Metric.MaxPathLength : "5.0"
Metric.Cost : "51958.17872100004"
Metric.CostRevenue : "1.7819689034065538"
Metric.RevenueCost : "0.5611770205912798"
Metric.MappedRevenue : "29157.73593000004"
Metric.RunningNodes : "100.0"
Metric.LinkCostPerVnr : "1595.3600872500015"
Metric.LinkUtilization : "23.510569706842126"
Metric.NodeUtilization : "24.621946885135127"
Metric.RemainingLinkResource : "41517.14300000008"
Metric.SolelyForwardingHops : "0.0"
Metric.Runtime : "311376.0"
Metric.runningTimePerMappedVN : "11120.57142857143"
Metric.NumberOfEmbeddedVNets : "28.0"
Metric.AvgMessagesSent : "6.26"
Metric.AvgMessagesReceived : "6.26"
Metric.NumberOfMessages : "626.0"
Metric.SuccessfullyEmbeddingPartitionsBandwidthRatio : "31.784725283640935"
Metric.SuccessfullyEmbeddingPartitionsNodesRatio : "10.944444444444445"
Metric.SuccessfullyEmbeddingPartitionsSize : "35.17857142857143"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.1785714285714284"
Metric.AttemptEmbeddingPartitionsNodesRatio : "162.17777777777778"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "53.18677925703741"
Metric.RuntimeWithoutPartitioning : "311217.0"


100 VNRs
scenario : "0"
timeSlot : "0"
Metric.AcceptedVnrRatio : "28.999999999999996"
Metric.RejectedNetworksNumber : "71.0"
Metric.AvAllPathLength : "0.5798798798798799"
Metric.AvPathLength : "2.011458333333333"
Metric.AvActiveLinkStress : "2.2375434530706837"
Metric.AvActiveNodeStress : "3.04"
Metric.AvLinkStress : "1.693859649122807"
Metric.AvNodeStress : "3.04"
Metric.MaxLinkStress : "7.0"
Metric.MaxNodeStress : "8.0"
Metric.MaxPathLength : "5.0"
Metric.Cost : "52861.053878000035"
Metric.CostRevenue : "1.7817192910346202"
Metric.RevenueCost : "0.561255639444367"
Metric.MappedRevenue : "29668.564596000044"
Metric.RunningNodes : "100.0"
Metric.LinkCostPerVnr : "1568.706800344829"
Metric.LinkUtilization : "23.559035323666514"
Metric.NodeUtilization : "24.238673249999994"
Metric.RemainingLinkResource : "40694.72900000007"
Metric.SolelyForwardingHops : "0.0"
Metric.Runtime : "350201.0"
Metric.runningTimePerMappedVN : "12075.896551724138"
Metric.NumberOfEmbeddedVNets : "29.0"
Metric.AvgMessagesSent : "6.96"
Metric.AvgMessagesReceived : "6.96"
Metric.NumberOfMessages : "696.0"
Metric.SuccessfullyEmbeddingPartitionsBandwidthRatio : "34.01521317112976"
Metric.SuccessfullyEmbeddingPartitionsNodesRatio : "10.85"
Metric.SuccessfullyEmbeddingPartitionsSize : "37.41379310344828"
Metric.SuccessfullyEmbeddingPartitionsLevel : "2.103448275862069"
Metric.AttemptEmbeddingPartitionsNodesRatio : "165.43"
Metric.AttemptsEmbeddingPartitionsBandwidthRatio : "57.70292512531486"
Metric.RuntimeWithoutPartitioning : "350073.0"


